UCONN
HOU
PUR
NCAR
TENN
ARZ
MARQ
ARZ
BAYL
CREIGH
UK
ILL
DUKE
KAN
AUBRN
ALA
BYU
SDSU
WISC
STMRY
GNZG
CLMSN
TXTECH
SC
FL
WASHST
TX
DAY
NEBR
UTAHST
FLATL
MSPST
MST
TXAM
TCU
NW
NEVADA
BOISE
COL
DRAKE
VIR
NMX
ORE
COLST
NCST
DUQ
GCAN
JMAD
MCNST
UAB
VERM
YALE
SAMF
CHAR
OAK
AKRON
MHST
COLG
LBST
WKENT
SDKST
STPETE
LONGWD
STETSN
MONST
GRMBST
HOWRD
WAG
