,Name,Age,Three_rtg,Two_rtg,Free_throw_rtg,Pass_rtg,draw_foul_rtg,take_three_prob,take_two_prob,make_ast_prob,turnover_prob,stamina,usageRate,rebound_rtg,steal_rtg,block_rtg,height,team
168,Jalen Hood-Schifino,20,45,43,60,44,62,19,18,7,87,52,79,42,5,16,76,LAL
169,Al Horford,37,85,79,86,80,47,68,33,68,6,82,7,91,48,91,80,BOS
170,Talen Horton-Tucker,23,69,60,80,86,80,63,68,78,18,73,85,60,74,57,74,UTA
171,Danuel House Jr,30,57,68,76,52,71,31,20,21,75,66,12,52,28,16,78,PHI
172,Caleb Houstan,21,79,62,79,48,50,63,1,15,43,65,4,51,19,16,79,ORL
173,Jett Howard,20,56,64,50,41,45,28,2,2,87,51,66,41,1,16,80,ORL
174,Kevin Huerter,25,81,76,76,79,58,84,51,67,10,79,46,72,56,57,78,SAC
175,DeAndre Hunter,26,91,73,85,64,90,77,72,41,90,85,60,74,65,45,79,ATL
176,Bones Hyland,23,69,53,78,74,50,59,44,59,52,64,76,44,39,16,74,LAC
177,Joe Ingles,36,82,46,82,81,50,50,14,71,10,69,25,56,56,16,80,ORL
178,Brandon Ingram,26,77,82,80,95,95,68,95,93,34,93,91,85,65,76,79,NOP
179,Kyrie Irving,31,95,82,89,91,89,94,95,87,17,95,89,84,92,67,74,DAL
180,Jonathan Isaac,26,64,75,71,44,72,34,46,7,92,66,32,80,56,95,82,ORL
181,Jaden Ivey,21,73,73,75,86,92,75,79,78,68,85,83,71,56,76,75,DET
182,Andre Jackson Jr,22,67,72,72,54,43,21,12,24,53,58,2,55,19,16,77,MIL
183,Isaiah Jackson,22,44,87,71,52,77,8,57,21,83,63,52,78,48,93,81,IND
184,Jaren Jackson Jr,24,74,77,80,76,96,85,92,61,90,91,90,88,88,97,82,MEM
185,Reggie Jackson,33,73,68,77,86,62,63,70,79,13,76,71,55,39,32,74,DEN
186,Trayce Jackson-Davis,23,44,89,56,56,76,3,58,28,58,64,50,79,19,89,80,GSW
187,LeBron James,39,91,90,74,97,95,83,95,98,28,96,95,93,92,76,80,LAL
188,Jaime Jaquez Jr,22,66,82,80,79,83,52,75,67,62,87,51,77,88,32,78,MIA
189,Ty Jerome,26,44,76,65,68,41,16,19,48,14,54,47,41,1,4,76,CLE
190,Isaiah Joe,24,90,69,85,58,55,74,22,32,51,71,28,58,48,45,75,OKC
191,Cameron Johnson,27,90,72,77,78,76,89,62,65,28,84,58,81,65,45,79,BRK
192,Jalen Johnson,22,72,88,72,85,84,63,86,76,43,94,56,95,88,89,80,ATL
193,Keldon Johnson,24,78,77,78,81,88,83,79,71,46,87,73,87,65,45,77,SAS
194,Keon Johnson,21,84,46,65,52,84,47,37,21,92,62,74,47,65,45,75,BRK
195,Keyontae Johnson,23,57,43,65,44,41,12,18,7,87,54,5,45,5,4,76,OKC
196,Nikola Jokic,28,70,95,82,98,95,56,98,99,11,95,96,98,94,89,83,DEN
197,Colby Jones,21,45,54,40,48,45,19,26,15,43,54,51,48,10,16,76,SAC
198,Damian Jones,28,49,71,81,44,53,12,16,7,75,54,19,51,10,57,82,CLE
199,Derrick Jones Jr,26,73,82,72,56,75,60,48,28,84,77,20,69,65,82,78,DAL
200,Herbert Jones,25,89,79,85,78,79,65,58,65,39,87,26,72,94,86,78,NOP
201,Tre Jones,24,63,83,87,95,73,47,65,93,4,81,63,69,82,16,73,SAS
202,Tyus Jones,27,87,76,80,97,53,68,72,97,0,86,68,62,88,45,72,WAS
203,DeAndre Jordan,35,44,79,44,50,75,3,39,18,87,60,38,82,10,57,82,DEN
204,Cory Joseph,32,59,47,57,70,45,33,8,51,11,60,20,46,10,16,74,GSW
205,Nikola Jovic,20,84,53,60,74,65,51,33,59,43,70,40,79,28,57,81,MIA
206,Luke Kennard,27,96,50,88,83,69,88,26,73,24,79,47,64,39,4,76,MEM
207,Walker Kessler,22,49,90,56,54,72,14,68,24,90,77,12,93,39,99,84,UTA
208,Corey Kispert,24,84,85,76,73,77,86,52,56,61,77,61,61,28,32,78,WAS
209,Maxi Kleber,32,64,64,67,70,65,49,19,51,34,75,3,72,19,82,81,DAL
210,John Konchar,27,60,65,85,73,47,43,20,57,32,74,3,82,65,91,77,MEM
211,Furkan Korkmaz,26,64,47,70,50,53,26,12,18,33,56,22,43,28,16,78,PHI
212,Luke Kornet,28,44,85,90,56,60,3,46,28,28,66,6,77,19,91,85,BOS
213,Jonathan Kuminga,21,62,88,73,76,92,47,86,61,77,80,79,84,56,67,79,GSW
214,Kyle Kuzma,28,79,82,78,88,90,92,94,83,63,91,92,91,39,82,80,WAS
215,Jock Landale,28,49,53,77,54,55,18,26,24,14,57,24,60,19,57,83,HOU
216,Jake LaRavia,22,59,59,82,62,83,57,48,37,69,69,66,67,56,45,79,MEM
217,Zach LaVine,28,81,79,85,88,92,93,84,81,50,96,76,86,65,45,76,CHI
218,Saben Lee,24,45,48,74,66,77,21,24,45,8,56,77,49,19,16,74,PHO
219,Alex Len,30,44,74,47,54,55,8,24,24,68,56,30,64,19,67,83,SAC
220,Kawhi Leonard,32,92,86,88,86,92,78,93,79,36,95,82,90,98,86,78,LAC
221,Caris LeVert,29,74,67,74,92,86,80,76,88,13,84,81,76,82,67,78,CLE
222,Kira Lewis Jr,22,45,50,90,58,53,26,22,32,19,55,61,43,19,16,73,TOT
223,Maxwell Lewis,21,54,40,65,40,41,8,2,1,97,50,0,40,5,4,78,LAL
224,EJ Liddell,23,44,41,65,40,45,18,0,1,97,50,41,42,19,45,77,NOP
225,Damian Lillard,33,84,72,92,97,98,98,86,96,22,96,94,81,82,32,74,MIL
226,Nassir Little,23,61,73,85,48,53,36,18,15,69,62,8,56,19,45,76,PHO
227,Dereck Lively II,19,44,93,52,62,72,3,68,37,81,78,7,93,56,96,85,DAL
228,Isaiah Livers,25,62,51,66,58,58,60,22,32,66,74,8,56,48,32,78,DET
229,Kenneth Lofton Jr,21,51,46,53,52,60,19,24,21,64,53,77,45,10,32,78,TOT
230,Kevon Looney,27,44,78,67,74,65,3,46,59,17,68,15,89,28,57,80,GSW
231,Brook Lopez,35,78,83,82,70,75,80,61,51,54,89,23,86,48,99,83,MIL
232,Robin Lopez,35,50,46,65,42,42,16,6,4,16,51,16,40,5,32,83,MIL
233,Kevin Love,35,76,78,77,76,81,74,27,62,19,70,69,90,19,32,80,MIA
234,Kyle Lowry,37,83,59,85,89,67,72,31,83,13,84,31,69,88,45,72,TOT
235,Trey Lyles,28,82,71,69,58,69,67,22,32,51,73,17,81,19,45,81,SAC
236,Theo Maledon,22,48,48,93,70,60,36,35,51,71,62,63,48,28,4,76,TOT
237,Sandro Mamukelashvili,24,51,71,70,54,50,22,14,24,4,53,56,52,10,32,81,SAS
238,Terance Mann,27,66,82,80,72,65,52,52,54,17,79,11,69,39,32,77,LAC
239,Tre Mann,22,81,62,80,82,58,50,52,72,20,72,57,69,74,4,75,TOT
240,Boban Marjanovic,35,44,62,50,44,55,10,29,7,43,52,71,59,1,16,88,HOU
241,Lauri Markkanen,26,93,83,88,74,94,96,83,59,67,92,78,94,74,67,83,UTA
242,Naji Marshall,26,78,65,78,74,72,47,48,59,52,72,47,72,56,32,78,NOP
243,Caleb Martin,28,85,65,77,76,73,63,67,61,54,83,37,82,56,57,76,MIA
244,Cody Martin,28,65,58,60,86,67,57,61,79,33,82,45,76,88,76,77,CHO
245,KJ Martin,23,51,74,51,50,53,16,33,18,72,60,14,52,28,16,78,TOT
246,Bennedict Mathurin,21,79,69,82,74,91,66,79,59,79,80,75,77,48,32,76,IND
247,Wesley Matthews,37,54,45,70,48,58,33,3,15,43,59,4,48,28,45,76,ATL
248,Tyrese Maxey,23,89,75,87,96,95,96,93,95,6,98,91,73,82,67,74,PHI
249,Miles McBride,23,84,56,82,66,50,57,37,45,8,66,44,45,48,16,73,NYK
250,CJ McCollum,32,95,71,79,89,81,95,75,84,19,89,78,80,82,82,74,NOP
251,TJ McConnell,31,55,82,76,93,60,16,75,91,7,70,89,62,88,16,72,IND
252,Jaden McDaniels,23,72,82,75,66,62,63,66,45,82,86,17,66,74,67,81,MIN
253,Jalen McDaniels,26,48,55,69,48,53,31,22,15,81,57,44,49,28,16,80,TOR
254,Doug McDermott,32,87,49,57,62,47,67,9,37,30,65,25,44,10,4,78,TOT
